TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       14374.00000        9.57318
TAB:  US_Arizona_Maricopa Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .845154 cc2=  .567804 lx= 11.27318 if=  36 il=  48 3/10/2020  n=  12 now=   14374 end=      78682         2     89616 U=   189.10 T=  494.1 p1= 447.4 p2=    18.3 ed=   999 undefine    x1=  36. x2=  48. y1=  2.42 y2=  2.36     
GP: Confirmed US_Arizona_Maricopa 3/10/2020        48   14374    -           2    -         5   999 undefine  
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .856893 cc2=  .568218 lx= 11.47318 if=  37 il=  48 3/10/2020  n=  11 now=   14374 end=      96103         2     89616 U=   176.52 T=  467.7 p1= 568.6 p2=    15.0 ed=   999 undefine    x1=  37. x2=  48. y1=  2.44 y2=  2.38     
GP: Confirmed US_Arizona_Maricopa 3/10/2020        48   14374    -           2    -         5   999 undefine  
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .866025 cc2=  .564514 lx= 10.81318 if=  38 il=  48 3/10/2020  n=  10 now=   14374 end=      49670         2     89616 U=   150.95 T=  397.4 p1= 245.6 p2=    28.9 ed=   999 undefine    x1=  38. x2=  48. y1=  2.38 y2=  2.31     
GP: Confirmed US_Arizona_Maricopa 3/10/2020        48   14374    -           2    -         5   999 undefine  
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .870388 cc2=  .554161 lx= 10.81318 if=  39 il=  48 3/10/2020  n=   9 now=   14374 end=      49670         2     89616 U=   135.85 T=  362.4 p1= 245.6 p2=    28.9 ed=   683 12/5/2021   x1=  39. x2=  48. y1=  2.38 y2=  2.31     
GP: Confirmed US_Arizona_Maricopa 3/10/2020        48   14374    -           2    -         5   683 12/5/2021 
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .866025 cc2=  .532692 lx= 10.99318 if=  40 il=  48 3/10/2020  n=   8 now=   14374 end=      59466         2     89616 U=   122.84 T=  334.5 p1= 313.7 p2=    24.2 ed=   624 10/7/2021   x1=  40. x2=  48. y1=  2.40 y2=  2.33     
GP: Confirmed US_Arizona_Maricopa 3/10/2020        48   14374    -           2    -         5   624 10/7/2021 
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .688287 cc2=  .505713 lx= 11.57318 if=  20 il=  49 3/11/2020  n=  29 now=   14374 end=     106210         3       265 U=   290.76 T=  732.0 p1= 638.9 p2=    13.5 ed=   999 undefine    x1=  20. x2=  49. y1=  2.45 y2=  2.35     
GP: Confirmed US_Arizona_Maricopa 3/11/2020        49   14374    -           3      265     3   999 undefine  
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .697478 cc2=  .511782 lx= 11.57318 if=  21 il=  49 3/11/2020  n=  28 now=   14374 end=     106210         3       265 U=   280.73 T=  708.4 p1= 638.9 p2=    13.5 ed=   999 undefine    x1=  21. x2=  49. y1=  2.45 y2=  2.35     
GP: Confirmed US_Arizona_Maricopa 3/11/2020        49   14374    -           3      265     3   999 undefine  
