TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3626.00000        8.19589
TAB:  US_Minnesota_Ramsey Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .968144 cc2=  .590180 lx= 10.19589 if=  48 il=  54 3/16/2020  n=   6 now=    3626 end=      26792        10         0 U=    23.44 T=  102.4 p1= 638.9 p2=    13.5 ed=   157 6/27/2020   x1=  48. x2=  54. y1=  2.32 y2=  2.07     
GP: Confirmed US_Minnesota_Ramsey 3/16/2020        54    3626    -          10        0     0   157 6/27/2020 
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .953525 cc2=  .545276 lx= 10.19589 if=  49 il=  54 3/16/2020  n=   5 now=    3626 end=      26792        10         0 U=    26.94 T=  109.7 p1= 638.9 p2=    13.5 ed=   173 7/13/2020   x1=  49. x2=  54. y1=  2.25 y2=  2.07     
GP: Confirmed US_Minnesota_Ramsey 3/16/2020        54    3626    -          10        0     0   173 7/13/2020 
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .953268 cc2=  .664593 lx= 10.19589 if=  44 il=  55 3/17/2020  n=  11 now=    3626 end=      26792        11      1406 U=    41.03 T=  139.3 p1= 638.9 p2=    13.5 ed=   236 9/14/2020   x1=  44. x2=  55. y1=  2.32 y2=  2.05     
GP: Confirmed US_Minnesota_Ramsey 3/17/2020        55    3626    -          11     1406     1   236 9/14/2020 
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .966992 cc2=  .665480 lx= 10.19589 if=  45 il=  55 3/17/2020  n=  10 now=    3626 end=      26792        11      1406 U=    37.30 T=  131.6 p1= 638.9 p2=    13.5 ed=   219 8/28/2020   x1=  45. x2=  55. y1=  2.32 y2=  2.05     
GP: Confirmed US_Minnesota_Ramsey 3/17/2020        55    3626    -          11     1406     1   219 8/28/2020 
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .977377 cc2=  .661149 lx= 10.19589 if=  46 il=  55 3/17/2020  n=   9 now=    3626 end=      26792        11      1406 U=    33.57 T=  123.9 p1= 638.9 p2=    13.5 ed=   203 8/12/2020   x1=  46. x2=  55. y1=  2.32 y2=  2.05     
GP: Confirmed US_Minnesota_Ramsey 3/17/2020        55    3626    -          11     1406     1   203 8/12/2020 
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .981925 cc2=  .648591 lx= 10.19589 if=  47 il=  55 3/17/2020  n=   8 now=    3626 end=      26792        11      1406 U=    29.84 T=  116.3 p1= 638.9 p2=    13.5 ed=   186 7/26/2020   x1=  47. x2=  55. y1=  2.32 y2=  2.05     
GP: Confirmed US_Minnesota_Ramsey 3/17/2020        55    3626    -          11     1406     1   186 7/26/2020 
AAA1     1 US_Minnesota_Ramsey Confirmed cc1=  .977758 cc2=  .624204 lx=  7.23589 if=  48 il=  55 3/17/2020  n=   7 now=    3626 end=       1388        11      1406 U=    17.39 T=   82.4 p1= -61.7 p2=   261.2 ed=   123 5/24/2020   x1=  48. x2=  55. y1=  1.98 y2=  1.58 BEST
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .977758 cc2=  .624204 lx=  7.23789 if=  48 il=  55 3/17/2020  n=   7 now=    3626 end=       1388        11      1406 U=    17.39 T=   82.4 p1= -61.7 p2=   261.2 ed=   123 5/24/2020   x1=  48. x2=  55. y1=  1.98 y2=  1.58 BEST
GP: Confirmed US_Minnesota_Ramsey 3/17/2020        55    3626     1388      11     1406     1   123 5/24/2020 
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .970598 cc2=  .592633 lx= 10.19589 if=  49 il=  55 3/17/2020  n=   6 now=    3626 end=      26792        11      1406 U=    30.35 T=  117.3 p1= 638.9 p2=    13.5 ed=   188 7/28/2020   x1=  49. x2=  55. y1=  2.25 y2=  2.05     
GP: Confirmed US_Minnesota_Ramsey 3/17/2020        55    3626    -          11     1406     1   188 7/28/2020 
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .956760 cc2=  .548512 lx= 10.19589 if=  50 il=  55 3/17/2020  n=   5 now=    3626 end=      26792        11      1406 U=    32.44 T=  121.6 p1= 638.9 p2=    13.5 ed=   198 8/7/2020    x1=  50. x2=  55. y1=  2.21 y2=  2.05     
GP: Confirmed US_Minnesota_Ramsey 3/17/2020        55    3626    -          11     1406     1   198 8/7/2020  
