TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3064.00000        8.02748
TAB:  US_Washington_Snohomish Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .981038 cc2=  .627484 lx=  4.02748 if=  41 il=  48 3/10/2020  n=   7 now=    3064 end=         56        37         0 U=     4.17 T=   44.4 p1= -98.2 p2=  5471.4 ed=    54 3/16/2020   x1=  41. x2=  48. y1=   .80 y2=  -.88     
GP: Confirmed US_Washington_Snohomish 3/10/2020        48    3064       56      37        0     0    54 3/16/2020 
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .971435 cc2=  .593470 lx=  4.02748 if=  42 il=  48 3/10/2020  n=   6 now=    3064 end=         56        37         0 U=     3.89 T=   44.6 p1= -98.2 p2=  5471.4 ed=    53 3/15/2020   x1=  42. x2=  48. y1=   .67 y2=  -.88     
GP: Confirmed US_Washington_Snohomish 3/10/2020        48    3064       56      37        0     0    53 3/15/2020 
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .971253 cc2=  .563005 lx=  4.02748 if=  43 il=  48 3/10/2020  n=   5 now=    3064 end=         56        37         0 U=     4.98 T=   43.6 p1= -98.2 p2=  5471.4 ed=    55 3/17/2020   x1=  43. x2=  48. y1=   .13 y2=  -.88     
GP: Confirmed US_Washington_Snohomish 3/10/2020        48    3064       56      37        0     0    55 3/17/2020 
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .946944 cc2=  .568980 lx= 10.02748 if=  45 il=  51 3/13/2020  n=   6 now=    3064 end=      22640       133         0 U=    22.20 T=   87.3 p1= 638.9 p2=    13.5 ed=   139 6/9/2020    x1=  45. x2=  51. y1=  1.91 y2=  1.64     
GP: Confirmed US_Washington_Snohomish 3/13/2020        51    3064    -         133        0     0   139 6/9/2020  
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .961274 cc2=  .553026 lx= 10.02748 if=  46 il=  51 3/13/2020  n=   5 now=    3064 end=      22640       133         0 U=    20.03 T=   83.8 p1= 638.9 p2=    13.5 ed=   131 6/1/2020    x1=  46. x2=  51. y1=  1.89 y2=  1.64     
GP: Confirmed US_Washington_Snohomish 3/13/2020        51    3064    -         133        0     0   131 6/1/2020  
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .974004 cc2=  .672493 lx= 10.02748 if=  42 il=  52 3/14/2020  n=  10 now=    3064 end=      22640       154       283 U=    21.49 T=   86.5 p1= 638.9 p2=    13.5 ed=   137 6/7/2020    x1=  42. x2=  52. y1=  2.07 y2=  1.61     
GP: Confirmed US_Washington_Snohomish 3/14/2020        52    3064    -         154      283     1   137 6/7/2020  
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .968212 cc2=  .634878 lx= 10.02748 if=  44 il=  52 3/14/2020  n=   8 now=    3064 end=      22640       154       283 U=    22.85 T=   88.7 p1= 638.9 p2=    13.5 ed=   142 6/12/2020   x1=  44. x2=  52. y1=  1.96 y2=  1.61     
GP: Confirmed US_Washington_Snohomish 3/14/2020        52    3064    -         154      283     1   142 6/12/2020 
